==PROF== Connected to process 1228695 (/home/ysu34/DiaGPU/sim/paper_bench/spgemm_bench)
SPGEMM,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_18_5.txt,262144,4980736,45088768
==PROF== Disconnected from process 1228695
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"1","1228695","spgemm_bench","127.0.0.1","void cusparse::binary_search_lb_kernel<128, 8, 0, int, int, cusparse::WorkCompute, const int, const int, int, int>(const T5 *, T4, T5, T5, T5, int, const T4 *, T6, T7 *...)","1","7","(128, 1, 1)","(4864, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","82.03"
"1","1228695","spgemm_bench","127.0.0.1","void cusparse::binary_search_lb_kernel<128, 8, 0, int, int, cusparse::WorkCompute, const int, const int, int, int>(const T5 *, T4, T5, T5, T5, int, const T4 *, T6, T7 *...)","1","7","(128, 1, 1)","(4864, 1, 1)","0","9.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","34.32"
"2","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanInitKernel<cub::ScanTileState<int, 1>>(T1, int)","1","7","(128, 1, 1)","(21, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","2,816"
"2","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanInitKernel<cub::ScanTileState<int, 1>>(T1, int)","1","7","(128, 1, 1)","(21, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"2","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanInitKernel<cub::ScanTileState<int, 1>>(T1, int)","1","7","(128, 1, 1)","(21, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","0.04"
"2","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanInitKernel<cub::ScanTileState<int, 1>>(T1, int)","1","7","(128, 1, 1)","(21, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ns","1,952"
"2","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanInitKernel<cub::ScanTileState<int, 1>>(T1, int)","1","7","(128, 1, 1)","(21, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_red.sum","","0"
"2","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanInitKernel<cub::ScanTileState<int, 1>>(T1, int)","1","7","(128, 1, 1)","(21, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","0"
"2","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanInitKernel<cub::ScanTileState<int, 1>>(T1, int)","1","7","(128, 1, 1)","(21, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","178.33"
"2","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanInitKernel<cub::ScanTileState<int, 1>>(T1, int)","1","7","(128, 1, 1)","(21, 1, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","0.19"
"2","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanInitKernel<cub::ScanTileState<int, 1>>(T1, int)","1","7","(128, 1, 1)","(21, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","6.14"
"2","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanInitKernel<cub::ScanTileState<int, 1>>(T1, int)","1","7","(128, 1, 1)","(21, 1, 1)","0","9.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","0.03"
"3","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanKernel<cub::DeviceScanPolicy<int>::Policy600, const int *, int *, cub::ScanTileState<int, 1>, cuda::plus<void>, detail::InputValue<int, int *>, int, int>(T2, T3, T4, int, T5, T6, T7)","1","7","(128, 1, 1)","(2595, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","19,965,440"
"3","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanKernel<cub::DeviceScanPolicy<int>::Policy600, const int *, int *, cub::ScanTileState<int, 1>, cuda::plus<void>, detail::InputValue<int, int *>, int, int>(T2, T3, T4, int, T5, T6, T7)","1","7","(128, 1, 1)","(2595, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","45,056"
"3","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanKernel<cub::DeviceScanPolicy<int>::Policy600, const int *, int *, cub::ScanTileState<int, 1>, cuda::plus<void>, detail::InputValue<int, int *>, int, int>(T2, T3, T4, int, T5, T6, T7)","1","7","(128, 1, 1)","(2595, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","25.48"
"3","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanKernel<cub::DeviceScanPolicy<int>::Policy600, const int *, int *, cub::ScanTileState<int, 1>, cuda::plus<void>, detail::InputValue<int, int *>, int, int>(T2, T3, T4, int, T5, T6, T7)","1","7","(128, 1, 1)","(2595, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ns","19,968"
"3","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanKernel<cub::DeviceScanPolicy<int>::Policy600, const int *, int *, cub::ScanTileState<int, 1>, cuda::plus<void>, detail::InputValue<int, int *>, int, int>(T2, T3, T4, int, T5, T6, T7)","1","7","(128, 1, 1)","(2595, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_red.sum","","0"
"3","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanKernel<cub::DeviceScanPolicy<int>::Policy600, const int *, int *, cub::ScanTileState<int, 1>, cuda::plus<void>, detail::InputValue<int, int *>, int, int>(T2, T3, T4, int, T5, T6, T7)","1","7","(128, 1, 1)","(2595, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","25.65"
"3","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanKernel<cub::DeviceScanPolicy<int>::Policy600, const int *, int *, cub::ScanTileState<int, 1>, cuda::plus<void>, detail::InputValue<int, int *>, int, int>(T2, T3, T4, int, T5, T6, T7)","1","7","(128, 1, 1)","(2595, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","55.79"
"3","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanKernel<cub::DeviceScanPolicy<int>::Policy600, const int *, int *, cub::ScanTileState<int, 1>, cuda::plus<void>, detail::InputValue<int, int *>, int, int>(T2, T3, T4, int, T5, T6, T7)","1","7","(128, 1, 1)","(2595, 1, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","25.79"
"3","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanKernel<cub::DeviceScanPolicy<int>::Policy600, const int *, int *, cub::ScanTileState<int, 1>, cuda::plus<void>, detail::InputValue<int, int *>, int, int>(T2, T3, T4, int, T5, T6, T7)","1","7","(128, 1, 1)","(2595, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","59.51"
"3","1228695","spgemm_bench","127.0.0.1","void cub::DeviceScanKernel<cub::DeviceScanPolicy<int>::Policy600, const int *, int *, cub::ScanTileState<int, 1>, cuda::plus<void>, detail::InputValue<int, int *>, int, int>(T2, T3, T4, int, T5, T6, T7)","1","7","(128, 1, 1)","(2595, 1, 1)","0","9.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","25.23"
"4","1228695","spgemm_bench","127.0.0.1","void cusparse::check_overflow_kernel<128, int>(const T2 *, T2, T2 *)","1","7","(128, 1, 1)","(38913, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","19,927,040"
"4","1228695","spgemm_bench","127.0.0.1","void cusparse::check_overflow_kernel<128, int>(const T2 *, T2, T2 *)","1","7","(128, 1, 1)","(38913, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","768"
"4","1228695","spgemm_bench","127.0.0.1","void cusparse::check_overflow_kernel<128, int>(const T2 *, T2, T2 *)","1","7","(128, 1, 1)","(38913, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","17.82"
"4","1228695","spgemm_bench","127.0.0.1","void cusparse::check_overflow_kernel<128, int>(const T2 *, T2, T2 *)","1","7","(128, 1, 1)","(38913, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ns","28,416"
"4","1228695","spgemm_bench","127.0.0.1","void cusparse::check_overflow_kernel<128, int>(const T2 *, T2, T2 *)","1","7","(128, 1, 1)","(38913, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_red.sum","","0"
"4","1228695","spgemm_bench","127.0.0.1","void cusparse::check_overflow_kernel<128, int>(const T2 *, T2, T2 *)","1","7","(128, 1, 1)","(38913, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","52.78"
"4","1228695","spgemm_bench","127.0.0.1","void cusparse::check_overflow_kernel<128, int>(const T2 *, T2, T2 *)","1","7","(128, 1, 1)","(38913, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","17.34"
"4","1228695","spgemm_bench","127.0.0.1","void cusparse::check_overflow_kernel<128, int>(const T2 *, T2, T2 *)","1","7","(128, 1, 1)","(38913, 1, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","31.73"
"4","1228695","spgemm_bench","127.0.0.1","void cusparse::check_overflow_kernel<128, int>(const T2 *, T2, T2 *)","1","7","(128, 1, 1)","(38913, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","45.27"
"4","1228695","spgemm_bench","127.0.0.1","void cusparse::check_overflow_kernel<128, int>(const T2 *, T2, T2 *)","1","7","(128, 1, 1)","(38913, 1, 1)","0","9.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","60.17"
"5","1228695","spgemm_bench","127.0.0.1","void cusparse::<unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(362, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","17,216,000"
"5","1228695","spgemm_bench","127.0.0.1","void cusparse::<unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(362, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"5","1228695","spgemm_bench","127.0.0.1","void cusparse::<unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(362, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","30.83"
"5","1228695","spgemm_bench","127.0.0.1","void cusparse::<unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(362, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ns","14,240"
"5","1228695","spgemm_bench","127.0.0.1","void cusparse::<unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(362, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_red.sum","","0"
"5","1228695","spgemm_bench","127.0.0.1","void cusparse::<unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(362, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","49.13"
"5","1228695","spgemm_bench","127.0.0.1","void cusparse::<unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(362, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","37.35"
"5","1228695","spgemm_bench","127.0.0.1","void cusparse::<unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(362, 1, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","8.72"
"5","1228695","spgemm_bench","127.0.0.1","void cusparse::<unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(362, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","33.10"
"5","1228695","spgemm_bench","127.0.0.1","void cusparse::<unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(362, 1, 1)","0","9.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","87.22"
"6","1228695","spgemm_bench","127.0.0.1","void cusparse::binary_search_lb_offset_kernel<128, 8, 8280, int, int, cusparse::Compress<128, int, int>, int, const int, const float, const int, const int, const float, int, int, float, int, int, float, int2>(const T5 *, T4, T5, T5, T5, int, const T4 *, T6, T7 *...)","1","7","(128, 1, 1)","(92416, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","223,746,816"
"6","1228695","spgemm_bench","127.0.0.1","void cusparse::binary_search_lb_offset_kernel<128, 8, 8280, int, int, cusparse::Compress<128, int, int>, int, const int, const float, const int, const int, const float, int, int, float, int, int, float, int2>(const T5 *, T4, T5, T5, T5, int, const T4 *, T6, T7 *...)","1","7","(128, 1, 1)","(92416, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","581,523,456"
"6","1228695","spgemm_bench","127.0.0.1","void cusparse::binary_search_lb_offset_kernel<128, 8, 8280, int, int, cusparse::Compress<128, int, int>, int, const int, const float, const int, const int, const float, int, int, float, int, int, float, int2>(const T5 *, T4, T5, T5, T5, int, const T4 *, T6, T7 *...)","1","7","(128, 1, 1)","(92416, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","9.79"
"6","1228695","spgemm_bench","127.0.0.1","void cusparse::binary_search_lb_offset_kernel<128, 8, 8280, int, int, cusparse::Compress<128, int, int>, int, const int, const float, const int, const int, const float, int, int, float, int, int, float, int2>(const T5 *, T4, T5, T5, T5, int, const T4 *, T6, T7 *...)","1","7","(128, 1, 1)","(92416, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ns","2,087,968"
"6","1228695","spgemm_bench","127.0.0.1","void cusparse::binary_search_lb_offset_kernel<128, 8, 8280, int, int, cusparse::Compress<128, int, int>, int, const int, const float, const int, const int, const float, int, int, float, int, int, float, int2>(const T5 *, T4, T5, T5, T5, int, const T4 *, T6, T7 *...)","1","7","(128, 1, 1)","(92416, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_red.sum","","0"
"6","1228695","spgemm_bench","127.0.0.1","void cusparse::binary_search_lb_offset_kernel<128, 8, 8280, int, int, cusparse::Compress<128, int, int>, int, const int, const float, const int, const int, const float, int, int, float, int, int, float, int2>(const T5 *, T4, T5, T5, T5, int, const T4 *, T6, T7 *...)","1","7","(128, 1, 1)","(92416, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","43.93"
"6","1228695","spgemm_bench","127.0.0.1","void cusparse::binary_search_lb_offset_kernel<128, 8, 8280, int, int, cusparse::Compress<128, int, int>, int, const int, const float, const int, const int, const float, int, int, float, int, int, float, int2>(const T5 *, T4, T5, T5, T5, int, const T4 *, T6, T7 *...)","1","7","(128, 1, 1)","(92416, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","88.41"
"6","1228695","spgemm_bench","127.0.0.1","void cusparse::binary_search_lb_offset_kernel<128, 8, 8280, int, int, cusparse::Compress<128, int, int>, int, const int, const float, const int, const int, const float, int, int, float, int, int, float, int2>(const T5 *, T4, T5, T5, T5, int, const T4 *, T6, T7 *...)","1","7","(128, 1, 1)","(92416, 1, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","62.38"
"6","1228695","spgemm_bench","127.0.0.1","void cusparse::binary_search_lb_offset_kernel<128, 8, 8280, int, int, cusparse::Compress<128, int, int>, int, const int, const float, const int, const int, const float, int, int, float, int, int, float, int2>(const T5 *, T4, T5, T5, T5, int, const T4 *, T6, T7 *...)","1","7","(128, 1, 1)","(92416, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","49.51"
"6","1228695","spgemm_bench","127.0.0.1","void cusparse::binary_search_lb_offset_kernel<128, 8, 8280, int, int, cusparse::Compress<128, int, int>, int, const int, const float, const int, const int, const float, int, int, float, int, int, float, int2>(const T5 *, T4, T5, T5, T5, int, const T4 *, T6, T7 *...)","1","7","(128, 1, 1)","(92416, 1, 1)","0","9.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","6.75"
